emp_no,dept_name,first_name,last_name,birth_date,from_date,to_date,title
11775,Development,Sajjad,Xiaoshan,1963-06-16,1988-11-15,9999-01-01,Engineer
11798,Finance,Kwan,Quaggetto,1964-08-14,1987-12-10,9999-01-01,Staff
11808,Development,Morrie,Rosiles,1962-09-03,1986-05-17,9999-01-01,Senior Engineer
11826,Production,Carrsten,Rotem,1964-02-20,1988-07-06,9999-01-01,Engineer
11840,Sales,Jayson,Hofman,1962-07-27,1986-12-21,9999-01-01,Staff
11863,Development,Stella,Peng,1962-07-03,1988-12-16,9999-01-01,Senior Engineer
11990,Development,Chanjung,Matheson,1964-11-24,1988-09-05,9999-01-01,Engineer
12014,Quality Management,Apostol,Lunt,1962-04-30,1988-10-11,9999-01-01,Senior Engineer
12019,Research,Mads,Ossenbruggen,1962-09-05,1986-02-17,9999-01-01,Staff
12031,Quality Management,Achilleas,Vendrig,1962-01-11,1987-02-10,9999-01-01,Senior Engineer
12039,Customer Service,Kazuhide,Junet,1964-12-03,1988-04-04,9999-01-01,Senior Staff
12056,Research,Nirmal,Genther,1962-09-27,1988-06-02,9999-01-01,Senior Engineer
12064,Production,Heping,Silva,1962-01-22,1986-03-14,9999-01-01,Engineer
12065,Production,Moto,Roohalamini,1964-04-10,1987-06-18,9999-01-01,Engineer
12066,Finance,Junichi,Deville,1963-06-01,1985-09-20,9999-01-01,Staff
12085,Customer Service,Hugh,Rouquie,1964-04-01,1986-07-03,9999-01-01,Senior Staff
12199,Sales,Huan,Poupard,1962-11-04,1985-06-22,9999-01-01,Senior Staff
12302,Research,Matt,Plessier,1962-02-14,1987-01-28,9999-01-01,Staff
12307,Development,Sarita,Schlumberger,1964-09-15,1985-02-23,9999-01-01,Engineer
12404,Production,Manu,Kulisch,1964-11-16,1985-12-14,9999-01-01,Senior Engineer
12410,Development,Masanao,Besselaar,1963-08-15,1988-04-28,9999-01-01,Technique Leader
12444,Research,Monique,Reinhard,1962-11-29,1987-08-16,9999-01-01,Staff
12446,Customer Service,Xiaoqiang,Keustermans,1964-01-05,1987-11-06,9999-01-01,Senior Staff
12472,Development,Leah,Madeira,1962-07-19,1985-12-10,9999-01-01,Engineer
12481,Development,Ipke,Uludag,1963-07-09,1985-05-11,9999-01-01,Senior Engineer
12546,Marketing,Luisa,Shobatake,1964-03-10,1988-06-05,9999-01-01,Senior Staff
12578,Customer Service,Tamiya,Perin,1964-01-22,1986-07-28,9999-01-01,Senior Staff
12649,Human Resources,Odinaldo,Luon,1962-08-22,1985-10-05,9999-01-01,Senior Staff
12669,Finance,Caolyn,Roisin,1962-02-09,1987-05-30,9999-01-01,Senior Staff
12675,Sales,Dekang,Krohm,1963-04-22,1987-11-20,9999-01-01,Senior Staff
12711,Research,Yechiam,Jiafu,1964-08-12,1986-11-21,9999-01-01,Senior Staff
12738,Production,Luigi,Hammerschmidt,1962-09-10,1985-09-23,9999-01-01,Engineer
12771,Customer Service,Erez,Luks,1964-02-06,1988-06-02,9999-01-01,Senior Staff
12780,Production,Premal,Puppo,1963-01-24,1987-10-21,9999-01-01,Technique Leader
12783,Development,Mahendra,Ginneken,1962-02-02,1985-11-13,9999-01-01,Engineer
12804,Research,Marlo,Rosti,1962-03-20,1987-02-15,9999-01-01,Senior Staff
12817,Development,Bokyung,Rosti,1962-06-17,1985-12-24,9999-01-01,Engineer
12823,Development,Pranav,Lanteri,1962-08-15,1985-05-11,9999-01-01,Senior Engineer
12832,Finance,Mabo,Cusworth,1962-10-24,1988-04-25,9999-01-01,Staff
12833,Development,Jaideep,Tibblin,1962-02-01,1987-06-04,9999-01-01,Senior Engineer
12838,Human Resources,Danel,Avouris,1962-12-18,1986-09-24,9999-01-01,Senior Staff
12884,Development,Paddy,Zyda,1964-09-28,1988-11-09,9999-01-01,Engineer
12896,Production,Mircea,Delgrande,1963-10-12,1986-10-29,9999-01-01,Senior Engineer
12943,Sales,Kazuhide,Zucker,1963-01-21,1988-12-15,9999-01-01,Senior Staff
12954,Sales,Dinkar,Walston,1964-11-10,1986-05-08,9999-01-01,Senior Staff
12963,Research,Kyoichi,Azevdeo,1962-11-22,1987-06-09,9999-01-01,Senior Staff
12980,Development,Jayson,Delgrange,1962-10-09,1988-02-05,9999-01-01,Engineer
12990,Quality Management,Kristina,Benaini,1964-06-08,1985-07-12,9999-01-01,Engineer
12993,Sales,Subhash,Sessa,1962-01-27,1986-08-25,9999-01-01,Senior Staff
13014,Production,Gianluca,Budinsky,1962-06-01,1986-01-21,9999-01-01,Engineer
13018,Sales,Toshimi,Moehrke,1964-03-14,1987-05-10,9999-01-01,Senior Staff
13020,Marketing,Shigeichiro,Suppi,1962-06-26,1987-07-06,9999-01-01,Senior Staff
13028,Sales,Mayumi,Siksek,1963-08-21,1985-10-28,9999-01-01,Senior Staff
13032,Research,Mohit,Standera,1962-12-12,1987-06-10,9999-01-01,Senior Staff
13039,Development,Alain,Akazan,1963-08-27,1985-10-29,9999-01-01,Engineer
13116,Finance,Constantino,Sury,1963-01-29,1987-10-25,9999-01-01,Staff
13154,Sales,Shan,Soicher,1963-06-19,1988-07-29,9999-01-01,Senior Staff
13163,Quality Management,Matt,Heping,1963-12-11,1987-03-31,9999-01-01,Engineer
13190,Human Resources,Stepehn,Kowalchuk,1962-11-08,1986-07-17,9999-01-01,Senior Staff
13195,Production,Toshiki,Baak,1964-06-29,1986-03-02,9999-01-01,Engineer
13219,Production,Wojceich,Constantine,1964-11-10,1988-06-22,9999-01-01,Technique Leader
13257,Finance,Francoise,Poehlman,1963-06-13,1986-07-12,9999-01-01,Senior Staff
13280,Customer Service,Gunilla,Cappelletti,1963-05-31,1985-03-30,9999-01-01,Senior Staff
13289,Marketing,Berni,Baer,1962-08-12,1987-09-24,9999-01-01,Senior Staff
13338,Production,Tonny,Gecsel,1963-08-19,1985-08-16,9999-01-01,Engineer
13367,Sales,Xumin,Swiler,1962-07-14,1987-08-30,9999-01-01,Senior Staff
13397,Human Resources,Nimmagadda,Wilfing,1964-05-13,1987-06-25,9999-01-01,Senior Staff
13459,Research,Eric,Lupu,1962-04-29,1988-05-20,9999-01-01,Senior Staff
13487,Marketing,Geoffrey,Claffy,1962-08-30,1987-03-08,9999-01-01,Senior Staff
13494,Production,Domenico,Baca,1964-04-07,1985-10-07,9999-01-01,Senior Engineer
13555,Sales,Lijia,Matteis,1964-08-20,1988-11-07,9999-01-01,Senior Staff
13558,Research,Raimond,Molberg,1964-10-13,1987-06-10,9999-01-01,Senior Staff
13561,Production,Fai,Thebaut,1962-04-30,1985-07-05,9999-01-01,Senior Engineer
13563,Production,Valter,Pashtan,1963-03-11,1987-04-17,9999-01-01,Engineer
13570,Finance,Kiyomitsu,Perez,1963-06-05,1986-03-15,9999-01-01,Senior Staff
13572,Marketing,Honglan,Beutelspacher,1964-03-13,1986-09-15,9999-01-01,Senior Staff
13579,Quality Management,Basem,Passino,1963-10-13,1987-03-12,9999-01-01,Assistant Engineer
13590,Production,Sashi,Showalter,1963-02-04,1986-03-14,9999-01-01,Engineer
13615,Marketing,Sugwoo,Marrevee,1962-07-12,1986-07-14,9999-01-01,Senior Staff
13712,Human Resources,Olivera,Docker,1963-04-08,1987-12-06,9999-01-01,Staff
13718,Sales,Lein,Gronowski,1963-03-15,1986-11-22,9999-01-01,Staff
13728,Production,Insup,Swab,1964-05-23,1986-01-03,9999-01-01,Engineer
13729,Development,Shahab,Farrel,1964-07-30,1988-10-12,9999-01-01,Senior Engineer
13757,Development,Soenke,Demir,1963-07-13,1986-02-22,9999-01-01,Engineer
13808,Sales,Becky,Stentiford,1963-03-17,1986-03-08,9999-01-01,Senior Staff
13860,Marketing,Wojceich,Papastamatiou,1964-09-18,1988-07-27,9999-01-01,Senior Staff
13890,Human Resources,Marin,Antonisse,1963-05-01,1985-11-30,9999-01-01,Senior Staff
13908,Production,Nechama,Koprowski,1964-12-21,1987-11-26,9999-01-01,Senior Engineer
13912,Production,Niclas,Blokdijk,1963-02-20,1988-12-07,9999-01-01,Assistant Engineer
13961,Production,Munir,Hempstead,1964-06-22,1988-10-01,9999-01-01,Senior Engineer
14036,Sales,Bogdan,Schaad,1962-03-20,1987-10-07,9999-01-01,Staff
14044,Production,Muneo,Peltason,1963-05-09,1988-04-04,9999-01-01,Senior Engineer
14057,Production,Boriana,Beidas,1962-05-16,1985-03-24,9999-01-01,Engineer
14073,Customer Service,Fumino,Rajcani,1962-11-09,1985-07-29,9999-01-01,Staff
14095,Sales,Tonia,Underwood,1964-08-04,1988-12-03,9999-01-01,Senior Staff
14115,Finance,Francesca,Mayerwieser,1963-07-31,1987-10-28,9999-01-01,Staff
14120,Production,Horward,Rabejac,1963-06-18,1985-08-11,9999-01-01,Engineer
14138,Quality Management,Zhigen,Peternell,1963-10-19,1987-09-17,9999-01-01,Senior Engineer
14185,Marketing,Garnik,Swiler,1964-11-06,1988-08-01,9999-01-01,Senior Staff
14222,Marketing,Shaleah,Luders,1963-03-10,1988-05-24,9999-01-01,Senior Staff
14334,Production,Pradeep,Waleschkowski,1964-12-15,1988-07-06,9999-01-01,Senior Engineer
14338,Quality Management,Behnaam,Pelz,1963-09-23,1985-11-29,9999-01-01,Engineer
14356,Production,Remko,Zeidenstein,1964-04-15,1985-06-04,9999-01-01,Senior Engineer
14362,Finance,Michaela,Kleiser,1963-10-28,1986-09-30,9999-01-01,Senior Staff
14374,Production,Berthier,Tomescu,1962-12-28,1986-03-20,9999-01-01,Engineer
14391,Customer Service,Haldon,Pesch,1963-01-08,1988-08-18,9999-01-01,Senior Staff
14402,Quality Management,Mooi,Peac,1963-10-02,1988-11-03,9999-01-01,Technique Leader
14409,Sales,Uta,Pettis,1963-05-08,1988-12-27,9999-01-01,Senior Staff
14419,Production,Ennio,Katiyar,1962-10-01,1987-02-16,9999-01-01,Assistant Engineer
14443,Sales,Kinh,Barriga,1962-01-03,1985-10-28,9999-01-01,Senior Staff
14449,Development,Isaac,Muntz,1963-09-21,1988-08-11,9999-01-01,Senior Engineer
14487,Sales,Jungsoon,Molenkamp,1963-08-20,1987-02-09,9999-01-01,Staff
14531,Development,Armond,Ruther,1963-04-21,1985-06-02,9999-01-01,Engineer
14671,Production,Elliott,Perri,1964-02-23,1987-08-05,9999-01-01,Engineer
14709,Production,Gennady,Gente,1963-11-16,1987-06-25,9999-01-01,Senior Engineer
14762,Customer Service,Kayoko,Bolotov,1962-12-19,1986-08-15,9999-01-01,Senior Staff
14783,Sales,Gennadi,Fasbender,1964-07-26,1987-08-26,9999-01-01,Senior Staff
14786,Customer Service,Duke,Hainaut,1962-02-17,1988-06-03,9999-01-01,Staff
14813,Sales,Naftali,Alpin,1964-08-16,1985-10-21,9999-01-01,Senior Staff
14849,Finance,Aluzio,Ashish,1963-04-03,1986-04-16,9999-01-01,Senior Staff
14891,Sales,Lalit,Smeets,1963-08-11,1988-06-27,9999-01-01,Senior Staff
14893,Development,Jacqueline,Bael,1964-04-18,1988-05-23,9999-01-01,Senior Engineer
14907,Sales,Nakhoon,Luga,1965-01-14,1986-12-18,9999-01-01,Staff
14929,Research,Mads,Hanratty,1963-08-19,1988-09-17,9999-01-01,Staff
14932,Production,JiYoung,Meszaros,1963-03-17,1987-07-24,9999-01-01,Senior Engineer
14938,Human Resources,King,Mitina,1964-01-03,1986-04-30,9999-01-01,Staff
14953,Quality Management,Chinya,Wallrath,1964-02-17,1986-08-25,9999-01-01,Senior Engineer
14969,Sales,Hongzue,Himler,1964-01-23,1986-01-03,9999-01-01,Senior Staff
14984,Development,Sangeeta,Parhami,1963-02-17,1986-11-20,9999-01-01,Engineer
14996,Development,Jianhao,Schahn,1962-12-14,1985-02-12,9999-01-01,Engineer
15001,Production,Brewster,Kawashimo,1964-06-19,1985-02-02,9999-01-01,Senior Engineer
15017,Production,Xiaobin,Thorelli,1963-03-22,1987-07-31,9999-01-01,Senior Engineer
15026,Development,Geoffrey,Manderick,1963-12-12,1985-03-24,9999-01-01,Senior Engineer
15046,Sales,Marin,Prochazka,1963-09-22,1987-03-07,9999-01-01,Staff
15061,Production,Kwangyoen,Hofmeyr,1963-05-07,1988-06-27,9999-01-01,Engineer
15067,Finance,Nidapan,Uhrig,1962-08-02,1988-05-04,9999-01-01,Senior Staff
15189,Development,Pascal,Strandh,1964-11-09,1988-06-11,9999-01-01,Engineer
15211,Development,Abdelaziz,Waterhouse,1962-01-27,1987-11-06,9999-01-01,Assistant Engineer
15244,Development,Gina,Bail,1963-10-11,1985-08-22,9999-01-01,Engineer
15257,Finance,Ishfaq,Schauser,1964-07-03,1987-09-16,9999-01-01,Senior Staff
15291,Development,Giao,Teitelbaum,1963-06-29,1988-07-05,9999-01-01,Senior Engineer
15322,Development,Munehiko,Sidou,1963-12-27,1985-02-04,9999-01-01,Senior Engineer
15355,Production,Hisao,Yurov,1964-09-16,1987-10-09,9999-01-01,Senior Engineer
15371,Sales,Shih,Kuszyk,1963-11-16,1988-11-05,9999-01-01,Senior Staff
15418,Sales,Gianluca,Neimat,1963-08-10,1985-10-25,9999-01-01,Senior Staff
15432,Sales,Adib,Simmen,1963-01-13,1986-04-16,9999-01-01,Senior Staff
15485,Production,Sadun,Comellas,1964-07-16,1988-11-07,9999-01-01,Senior Engineer
15495,Sales,Sven,Rotem,1964-06-04,1988-05-25,9999-01-01,Staff
15540,Development,Steen,Mullainathan,1963-05-31,1988-12-01,9999-01-01,Senior Engineer
15542,Development,Mariangiola,Hardjono,1964-03-01,1988-04-26,9999-01-01,Senior Engineer
15547,Development,Leandro,Murillo,1964-03-05,1987-02-03,9999-01-01,Engineer
15574,Finance,Evgueni,Kalloufi,1964-04-24,1988-12-19,9999-01-01,Staff
15597,Finance,JoAnne,Farris,1962-12-16,1985-11-09,9999-01-01,Staff
15599,Research,Filipe,Piancastelli,1964-11-23,1987-02-16,9999-01-01,Staff
15620,Sales,Alejandro,Randi,1964-04-10,1987-02-14,9999-01-01,Senior Staff
15721,Production,Perla,Denis,1962-05-27,1987-04-28,9999-01-01,Engineer
15722,Production,Tesuro,Giaccio,1963-02-24,1987-12-17,9999-01-01,Engineer
15725,Sales,Shuichi,Petersohn,1964-07-04,1987-11-04,9999-01-01,Senior Staff
15741,Development,Baruch,Neiman,1963-12-27,1987-06-26,9999-01-01,Technique Leader
15749,Development,Unal,Pargas,1963-04-18,1987-03-22,9999-01-01,Senior Engineer
15784,Marketing,Gen,Bernatsky,1963-12-02,1987-10-31,9999-01-01,Senior Staff
15794,Quality Management,Serge,Fairtlough,1963-12-14,1987-02-28,9999-01-01,Engineer
15802,Finance,Adhemar,Haumacher,1962-11-30,1985-04-08,9999-01-01,Senior Staff
15834,Human Resources,Changho,Simkin,1963-06-14,1986-06-14,9999-01-01,Staff
15852,Production,Nathalie,Bonifati,1964-10-22,1988-06-01,9999-01-01,Senior Engineer
15881,Production,Ortrun,Luby,1964-05-11,1986-09-27,9999-01-01,Engineer
15883,Development,Jixiang,Rosin,1962-05-27,1985-04-02,9999-01-01,Senior Engineer
15888,Finance,Salvador,Zumaque,1964-04-14,1987-08-07,9999-01-01,Senior Staff
15913,Development,Shigeaki,Mattern,1963-02-09,1986-04-21,9999-01-01,Senior Engineer
16007,Development,Premsyl,Dalton,1964-05-30,1988-04-15,9999-01-01,Engineer
16055,Production,Akeel,Heyers,1963-04-26,1987-08-09,9999-01-01,Senior Engineer
16062,Sales,Jaques,Peak,1963-02-26,1986-01-25,9999-01-01,Senior Staff
16064,Quality Management,Lucian,Murtha,1963-08-16,1988-01-21,9999-01-01,Technique Leader
16065,Human Resources,Kaijung,Karunanithi,1962-07-05,1987-08-28,9999-01-01,Staff
16091,Development,Yucai,Belinskaya,1964-09-28,1987-01-10,9999-01-01,Engineer
16098,Production,Stella,Fortenbacher,1964-12-11,1985-09-30,9999-01-01,Engineer
16100,Finance,Mantis,Petereit,1962-04-20,1986-03-31,9999-01-01,Senior Staff
16107,Sales,Feiyu,Luit,1963-12-23,1985-03-30,9999-01-01,Staff
16115,Sales,Haldun,Silva,1964-11-30,1985-11-14,9999-01-01,Senior Staff
16168,Production,JoAnna,Ashish,1964-02-05,1986-10-15,9999-01-01,Assistant Engineer
16182,Production,Mantis,Alpay,1963-09-10,1987-06-28,9999-01-01,Technique Leader
16190,Development,Constantine,Fandrianto,1963-04-23,1986-08-13,9999-01-01,Technique Leader
16248,Production,Tadahiro,Masada,1963-10-21,1988-12-16,9999-01-01,Engineer
16275,Development,Maja,Ruemmler,1964-06-08,1987-11-25,9999-01-01,Engineer
16353,Production,Shawna,Denis,1962-08-07,1987-09-29,9999-01-01,Engineer
16356,Marketing,Sibyl,Woycyznski,1964-06-25,1988-12-05,9999-01-01,Senior Staff
16357,Production,Arve,Perl,1963-03-15,1988-09-11,9999-01-01,Engineer
16371,Customer Service,Duri,Danlos,1964-03-25,1987-05-12,9999-01-01,Senior Staff
16374,Production,Holgard,Nergos,1963-05-23,1987-05-21,9999-01-01,Senior Engineer
16391,Development,Hidekazu,Syrzycki,1963-10-31,1986-07-21,9999-01-01,Senior Engineer
16394,Human Resources,Chinho,Gluchowski,1964-01-16,1986-02-03,9999-01-01,Staff
16461,Sales,Remmert,Schahn,1965-01-14,1986-09-06,9999-01-01,Senior Staff
16476,Production,Mitsuyuki,Huttel,1964-02-15,1988-04-22,9999-01-01,Technique Leader
16489,Production,Junsik,Broder,1962-11-30,1987-06-30,9999-01-01,Engineer
16513,Sales,Toney,Auria,1964-10-15,1987-03-03,9999-01-01,Senior Staff
16519,Production,Jeane,Denny,1963-10-10,1987-05-26,9999-01-01,Senior Engineer
16553,Finance,Jianhao,Halevi,1962-03-07,1988-06-22,9999-01-01,Staff
16618,Sales,Sadun,Hebert,1963-03-30,1987-05-17,9999-01-01,Staff
16620,Sales,Arco,Basagni,1962-05-06,1987-07-22,9999-01-01,Senior Staff
16707,Production,Dulce,Naudin,1963-12-15,1985-12-25,9999-01-01,Technique Leader
16727,Development,Saniya,Codenie,1963-11-05,1987-09-24,9999-01-01,Engineer
16758,Development,Zongyan,Vilarrasa,1962-11-04,1987-10-25,9999-01-01,Engineer
16781,Development,Emdad,Cangellaris,1963-04-12,1985-10-15,9999-01-01,Assistant Engineer
16804,Production,Alain,Wossner,1962-07-17,1986-03-25,9999-01-01,Senior Engineer
16810,Production,Honesty,Verspoor,1963-07-14,1987-08-15,9999-01-01,Engineer
16825,Development,Ziyad,Perri,1962-01-26,1986-12-05,9999-01-01,Senior Engineer
16826,Research,Morris,Rosis,1962-01-30,1986-05-17,9999-01-01,Senior Staff
16861,Production,Moon,Akaboshi,1963-04-19,1985-12-14,9999-01-01,Assistant Engineer
16865,Customer Service,Gou,Rosin,1964-06-12,1986-01-08,9999-01-01,Senior Staff
16887,Development,Bernardo,Sinitsyn,1962-11-16,1985-02-06,9999-01-01,Senior Engineer
16945,Development,Ramzi,McConalogue,1963-10-25,1986-02-14,9999-01-01,Senior Engineer
16963,Development,Monique,Lalonde,1964-11-07,1988-07-06,9999-01-01,Senior Engineer
16991,Customer Service,Oksana,Birke,1963-11-26,1986-02-24,9999-01-01,Senior Staff
17026,Sales,Sham,Hockney,1964-11-21,1986-05-29,9999-01-01,Senior Staff
17029,Production,Nobuyoshi,Bardell,1962-01-08,1986-08-17,9999-01-01,Senior Engineer
17061,Sales,Zhigen,Gomatam,1962-05-02,1987-11-30,9999-01-01,Staff
17121,Development,Thanasis,Lorys,1964-02-17,1988-01-18,9999-01-01,Senior Engineer
17139,Production,Stein,Cesareni,1963-01-18,1987-11-23,9999-01-01,Engineer
17164,Development,Pranjal,Birta,1964-05-30,1988-12-17,9999-01-01,Engineer
17177,Development,Garnet,Highland,1964-01-30,1987-10-08,9999-01-01,Engineer
17188,Development,Boguslaw,Cardazo,1962-06-08,1988-09-19,9999-01-01,Engineer
17209,Development,Przemyslawa,Merle,1963-04-23,1988-07-05,9999-01-01,Engineer
17238,Sales,Achilleas,Schach,1964-08-12,1985-07-07,9999-01-01,Staff
17273,Production,Aiichiro,Verhaegen,1964-03-05,1985-07-06,9999-01-01,Senior Engineer
17332,Sales,Valery,Grospietsch,1964-01-09,1985-03-02,9999-01-01,Senior Staff
17376,Production,Moheb,Fadgyas,1964-10-13,1988-01-12,9999-01-01,Senior Engineer
17377,Sales,Kien,Ambroszkiewicz,1962-01-01,1986-04-10,9999-01-01,Staff
17389,Development,Taiji,Kemmerer,1962-11-23,1985-02-02,9999-01-01,Assistant Engineer
17420,Sales,Jinpo,Stamatiou,1964-05-22,1988-10-13,9999-01-01,Senior Staff
17421,Sales,Adel,Birjandi,1963-12-16,1985-02-12,9999-01-01,Senior Staff
17433,Development,Flemming,Wegerle,1964-05-21,1985-09-29,9999-01-01,Technique Leader
17459,Sales,Xuejun,Delgrange,1962-05-19,1988-04-24,9999-01-01,Senior Staff
17461,Production,Karoline,Lampe,1962-11-18,1985-04-12,9999-01-01,Technique Leader
17475,Production,Mingdong,Callaway,1964-04-29,1987-02-28,9999-01-01,Senior Engineer
17504,Production,Nidapan,Comyn,1963-01-08,1986-02-27,9999-01-01,Senior Engineer
